clean_text,sentiment
apliaksi yang terpecaya,positive
tokopedia sangat membantu dan sangat bermanfaat akun ini sangat bagus memudahkan penggunanya,positive
sangat cepat respon,positive
keren belanja di tokopedia tp sayang tempat pencarian barang tidak bisa dgn kirim foto dan klo bisa pasarkan produk luar negeri,positive
hai tokopediapelatihan sdah saya selesaikan terimakasih banyaksangat bermanfaat,positive
sangat membantu dari segi pendidikan maupun non pendidikan,positive
tolong dibantu saya baru saja bayar tagihan ke megafinance lewat toped saat saya minta transaksi no virtual account utk bank nya disertakan lalu saya tranfer trnyata tidak auto terfrikasi saya cek toped saya ternyata itu akun baru dibikin baru sama anak saya yang belum ada data no rek dan sebagainya bagaimana ini uang saya rb sudah tertranfer ke toped apakah pihak kalian akan ngerefund atau bagaimana ya seharusnya klu terdetek akun saya baru jangan lsg menyertakan vc nya,negative
vouchernya tidak bisa dipake parah sekarang sistemnya,negative
iklan lu dimana mana spam banget,negative
sangat cocok sekali untuk belanja online terimakasih tokopedia,positive
